stem,tp,fp,fn,n_gt,found,merges,splits,fp_inst,n_pred_inst,boundary_iou
vienna5_r1c3,2013,286589,13804,4,1,0,0,80,81,0.0
vienna5_r1c4,0,78602,501,2,0,0,0,43,43,0.0
vienna5_r2c0,259842,48950,51132,14,11,1,0,27,37,0.09312292621267183
vienna5_r2c1,152110,36356,108612,37,16,4,1,19,32,0.11691233374727786
vienna5_r2c2,62113,16373,92319,25,12,0,2,43,57,0.07833727111636149
vienna5_r2c3,112353,33497,149733,23,13,4,3,41,53,0.05858272162619989
vienna5_r2c4,0,263398,4054,1,0,0,0,77,77,0.0
vienna5_r3c0,282367,13737,120203,12,8,1,1,4,12,0.17555217060167555
vienna5_r3c1,54239,15442,48318,15,5,0,0,10,15,0.07842406164553815
vienna5_r3c2,47749,28741,56621,16,9,1,0,16,24,0.05660063950832606
vienna5_r3c3,201091,159036,175431,43,24,12,1,44,57,0.052472569294003304
vienna5_r3c4,141696,70195,67864,28,16,9,4,21,32,0.08611166302404133
vienna5_r4c0,177252,59009,130602,39,18,1,1,36,54,0.06951196328182287
vienna5_r4c1,101377,58449,76807,13,11,2,0,36,45,0.04461871281773932
vienna5_r4c2,29395,12632,56558,13,6,1,0,18,23,0.04454452004503402
vienna5_r4c3,111091,68428,85045,56,32,16,1,38,55,0.06706351592407753
vienna5_r4c4,124885,53664,191827,34,17,5,2,52,66,0.05953455301227883
